"Vremenska oznaka","1. Gender:","2. Age:","3. Country:","4. Place of living:","5. Profession:","6. Level of education:","7. Monthly income:","8. Ethnic origin:","9. Marital Status:","10. Children:","11. How much time you spend online per day?","12. How often do you buy online?","13. How often do you buy using your mobile phone?","14. How much do you use mobile phone and it's apps?","15. How socially active are you?","16. How much do you use social networks?","17. How sporty are you?","18. How much do you care about environment protection and animals?","19. How trendy are you?","20. How much do you care about your skin?","21. Do you use skincare products?","22. How much informed are you before buying skincare products?","23. How much do you care about expert's recommendations on skincare products?","24. How much do you care about friend's recommendations on skincare products?","25. How much influence on your skincare brand choice has a celebrity recommendation?","26. Where do you buy skincare products?","27. How much (at average) you spend on skincare products per month?","28. What brand of skincare products do you use?","29. How much do you care about natural ingredients in skincare products?","30. How much do you care about the price of a skincare product?","31. How much do you care about the quality of a skincare product?","32. Do you prefer premium or mass products? ","33. How much do you care about the social image of the skincare brand you are buying products from?","34. How much do you care about a store (online or offline) service of the skincare brands?","35. How important for you are free samples before buying?","36. How important for you are a good return policies of skincare brand?","37. How important for you are a skincare brand's environmental and animal testing policies?","38. Do you know brand Kiehl's?","39. Do you use Kiehl's products?","40. What's your level of satisfaction with Kiehl's products?","41. What's your level of satisfaction with Kiehl's service?","42. Would you recommend Kiehl's to your friends and acquaintances?","43. What is your favorite Kiehl's product?","44. What do you associate Kiehl's with?","45. If you buy online skincare products, what service do you use to buy them?","46. Why you use this service?","47. What are your favorite things about this service?","48. How satisfied are you with the online service you are using?","49. How often do you visit online store for skincare products?","50. How many skincare products do you buy online per month?","51. How long you shop before making a purchase of skincare products online?","52. How many items do you buy per online purchase of skincare products?","53. Where on showrooming-webrooming level do you see yourself?","54. Would you use Kiehl's online service?"
"2019/03/16 3:27:58 AM CET","Male","20-29","USA","Small town","Energy Analyst","Bachelor's degree or eqvivalent",">$3000","White","Single, never married","0","3","7","5","7","6","5","8","8","3","3","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","5"
"2019/03/16 4:56:19 AM CET","Male","20-29","Sweden","Small town","Web Developer","Bachelor's degree or eqvivalent","$800-$1000","Asian / Pacific","Single, never married","0","10","3","5","7","5","5","5","5","4","6","No","10","10","10","1","5","<$10","","5","5","10","10","5","10","10","10","5","1","No","","","","","","","","","","","","","","","1"
"2019/03/16 7:22:52 AM CET","Female","20-29","usa","Small town","Catering","High school graduate","<$500","White","Single, never married","0","6","3","1","5","6","1","4","10","4","9","Yes","10","8","2","1","6","<$10","First Aid Beauty, The Ordinary, BareMinerals, and Sun Bum (sunscreen) ","8","6","10","6","6","8","8","5","10","5","No","","","","","","Ulta and Sephora","They're the most popular, they're consistent and reliable, and they have the best the samples and deals","When they do a bad of samples (especially if they have full sized samples).","8","3","1","10","3","6","3"
"2019/03/16 8:59:02 AM CET","Female","<20","Switzerland","Big city","Computer engineer","High school graduate","$800-$1000","White","Single, never married","0","10","3","3","10","10","10","9","10","3","5","Yes","10","6","6","5","7","$10-$19","Bodyshop","5","3","7","5","8","8","4","6","8","1","No","","","","","","","","","","","","","","","5"
"2019/03/16 10:01:06 AM CET","Female","20-29","United Kingdom ","Small town","Student ","Bachelor's degree or eqvivalent","<$500","White","Married or domestic partnership","0","7","5","6","9","4","5","1","9","4","6","Yes","5","5","5","4","4","<$10","","5","8","7","4","5","5","4","5","9","1","No","","","","","","","","","","","","","","","1"
"2019/03/16 10:05:13 AM CET","Male","20-29","Malaysia","Big city","Student","Bachelor's degree or eqvivalent","$500-$799","Asian / Pacific","Single, never married","0","10","3","3","6","3","7","3","7","3","4","Yes","5","5","7","3","7","$20-$49","atomy","3","7","7","4","7","5","6","4","4","1","No","","","","","","lazada","it's has wide range of product","wide range of products","7","2","2","6","1","8","5"
"2019/03/16 10:17:36 AM CET","Female","30-39","Sweden","Rural area","Unemployed ","High school graduate","<$500","White","Married or domestic partnership","0","10","6","1","1","1","7","1","10","1","5","Yes","3","1","1","1","1","<$10","","1","10","10","1","1","1","1","1","5","1","No","","","","","","","","","","","","","","","1"
"2019/03/16 10:21:55 AM CET","Male","20-29","Sweden","Big city","Student?","High school graduate","<$500","Hispanic or Latino","Single, never married","0","9","2","1","3","4","3","6","8","1","7","Yes","3","2","6","1","4","<$10","Bulldog","1","9","7","5","4","1","1","1","6","1","No","","","","","","","","","","","","","","","3"
"2019/03/16 12:01:21 PM CET","Female","20-29","USA","Big city","Medical student","Doctorate degree","<$500","White","Single, never married","0","9","8","2","6","5","5","5","5","3","9","Yes","10","7","6","3","10","$10-$19","Many different brands, too many to list","2","7","8","5","2","7","7","6","3","6","No","","","","","","Amazon","Convenient, can get AB products","Good selection of AB products","8","7","1","10","1","5","2"
"2019/03/16 12:10:00 PM CET","Male","<20","Singapore","Big city","Firefighter","High school graduate","$1000-$1499","Other","Single, never married","0","6","4","1","8","7","8","10","10","8","7","Yes","6","3","2","1","1","$20-$49","Garnier","3","5","8","5","3","1","1","3","7","7","Yes","5","5","5","","Kiehl's Customer Representatives (store experts in white lab coats);Mr. Bones","","","","","","","","","","3"
